hidden_size,num_layers,dropout,linear_size,mae_train,mae_val,mape_train,mape_val
8,1,0.0,16,0.37911530939988913,0.39910516522878386,3.321986001082567,3.836864089490332
2,2,0.0,4,0.3552977601943398,0.4021909390137083,3.1076108069648316,3.9301731692928055
2,1,0.0,2,0.40542327132349953,0.4084776094187002,3.4099434547278276,4.041615538399726
16,4,0.125,16,0.4237292948863092,0.4176880385085999,3.7126107776566886,4.029917743267922
8,1,0.0,8,0.3803799046329119,0.4220573001866846,3.339270868944094,4.036361791620469
8,4,0.0,8,0.4074817223012277,0.42330829500933015,3.60937540078947,4.140474446603528
16,1,0.0,16,0.3373053513604027,0.42420084707389677,2.958930043090832,4.1203629644289625
16,4,0.25,16,0.47880568569927123,0.42470036805318867,4.1779184486142125,4.069568213452313
2,1,0.0,8,0.372253697138403,0.42510458021685704,3.2648651985684176,4.164280195679125
2,2,0.0,8,0.3779649128624517,0.4259120439797773,3.3061513708338057,4.207340061582356
8,1,0.0,2,0.44569765251719706,0.4277084553935448,3.573114212417422,4.224840502572632
2,4,0.0,2,0.4208896853046004,0.428723037869576,3.5940664437745107,4.119466390366095
2,4,0.0,8,0.36688088565660454,0.42885831608485353,3.2072540700159253,4.191524326660994
8,4,0.0,4,0.38917966491809175,0.4292283831337381,3.470350986822164,4.074553156856198
8,1,0.0,4,0.3782568011979415,0.4296234519906532,3.297405990332765,4.104541167553801
2,4,0.0,16,0.3593059552330465,0.4298919010869916,3.1276343828185316,4.23702273956119
16,4,0.0,2,0.3366929471200763,0.4309609482052756,2.950552290213167,4.333294518480494
8,1,0.125,16,0.4610258374451779,0.43106143402265534,4.007645183648411,4.2473002083551235
8,4,0.0,16,0.3790640619560589,0.4316288311428971,3.3429521720943,4.212815111450519
2,1,0.0,16,0.3720425901119666,0.4323753752716013,3.2511167167840935,4.203699675132422
16,1,0.0,4,0.3278950162366252,0.43250408677972624,2.8819483598017372,4.233660234018395
2,1,0.0,4,0.38514616212519664,0.4326452035572647,3.3595429503222514,4.256311153929704
2,2,0.0,16,0.373691206268475,0.4333274646832184,3.2755235357962134,4.326505079230379
16,1,0.125,8,0.4106443699932864,0.43350022932849247,3.545164571271412,4.229403810774729
16,1,0.0,8,0.4022756888373051,0.4358374717989948,3.528950450025857,4.166757924051062
8,2,0.0,4,0.3764365716065232,0.43660310963087345,3.3138778634037083,4.284171347194529
16,1,0.0,2,0.3220643840578107,0.43735870106212626,2.8520997035016094,4.278316220522608
16,2,0.0,4,0.3576404504989926,0.4399806027983961,3.155745232408947,4.263284837468433
16,4,0.0,4,0.3391341571082068,0.4409180525102608,3.0295779520788604,4.219406647630748
4,2,0.0,2,0.3462094692112365,0.4410779917744136,3.0014383607766097,4.382094567777031
8,1,0.25,16,0.38186197006743505,0.44202803179762784,3.3183595248527435,4.501332761766862
8,2,0.0,16,0.38766345963388116,0.4420644249076704,3.441231642945499,4.335955300730723
16,2,0.0,16,0.42835071347218107,0.4437950522261251,3.7708405222652224,4.197044440640744
16,4,0.0,16,0.4390636929777258,0.44417917621719233,4.012340510214457,4.266432588998029
16,2,0.0,2,0.4677941959508512,0.44909413254199115,3.6402224174323616,4.482822872130643
4,1,0.0,2,0.36789470405500435,0.44911778910337136,3.2215663474661063,4.379861455384706
16,2,0.0,8,0.34029063728542946,0.44938974929692993,2.974904294031273,4.503214165419187
4,2,0.0,8,0.3657920144053601,0.4496466974295091,3.1787712814133515,4.457463468212224
2,4,0.0,4,0.39143752007367427,0.4503691437187682,3.4371856050501695,4.407048806462497
8,1,0.125,8,0.3695078291084961,0.4505591831645111,3.1972403552233333,4.4824069742951345
16,4,0.125,4,0.42936866521433464,0.45122034848623405,3.7839164016108118,4.280141499391531
16,2,0.125,16,0.36503840516489333,0.4525991428268606,3.2180437859167252,4.510031164220768
16,4,0.0,8,0.34493531020661977,0.4541299964748838,3.0210407703448774,4.503082186608118
8,4,0.125,16,0.39249804550165374,0.4541957401750715,3.355999435451418,4.527143595065033
4,1,0.0,8,0.3562575147919516,0.45540944075592665,3.1412200392417917,4.594408566575665
16,1,0.125,16,0.4112924401993743,0.456071346077747,3.5681687135918136,4.447133832451563
16,4,0.25,8,0.3880175215766305,0.456972334807716,3.379959774037159,4.561971839999529
8,2,0.0,8,0.38252930782524425,0.45797750026315526,3.349454567146141,4.549088148178071
16,4,0.125,8,0.3904446622089119,0.45842602750205547,3.408534928915742,4.357039484981483
4,2,0.0,16,0.3598629768615635,0.45911205031840013,3.1617989581253503,4.607541566245453
16,4,0.125,2,0.4024740863594384,0.4634232795613006,3.4633686737206815,4.687568869348193
4,2,0.0,4,0.35748147157307497,0.46343291403077436,3.1620305751982474,4.845348478344074
8,4,0.0,2,0.41524807686040893,0.4636862032309927,3.7112127927706964,4.465245485696503
16,1,0.25,8,0.43856760066342765,0.4666353486715609,3.8402913773632177,4.70165895311743
4,2,0.125,16,0.3951910092497333,0.4679514436851901,3.373415819042105,4.58216300937016
4,1,0.125,16,0.3817031347311213,0.468596462907549,3.268968319822046,4.6417972082549195
16,2,0.125,8,0.3815840177313575,0.4705451275406454,3.3973196477623975,4.781370013170433
16,2,0.25,8,0.37873378225723475,0.47418463386811727,3.257308963163639,4.686603338908861
16,2,0.25,16,0.3773388475210666,0.4749267833286656,3.2484815270942944,4.634362904098773
4,4,0.0,16,0.39533366620164606,0.4750038513225768,3.471600683692122,4.8715571484539
4,4,0.125,8,0.4680638233598274,0.4762292040344932,4.106784910544372,4.603227582284232
2,1,0.125,16,0.43873169476255547,0.4766895591390467,3.9662696671922943,4.973703117063795
4,1,0.0,16,0.3497494120004532,0.4769546048373517,3.053826743880515,4.899122894001512
4,1,0.125,8,0.3934757916991885,0.477672686718724,3.394887045821086,4.781371401668106
4,4,0.0,4,0.3650185882611041,0.4777412632749098,3.218286489442758,4.543699855749644
8,4,0.125,8,0.3717553283472324,0.4787411754748701,3.202426528741611,4.7366603005193
8,4,0.25,16,0.3828411406597017,0.4791023643394219,3.307451056905458,4.770369142633384
16,2,0.125,4,0.3858182664070794,0.48039936564142705,3.3397168797968497,4.855033693207707
16,1,0.25,16,0.3730096176031341,0.4804200921722746,3.2873823049842232,4.9485849179877475
8,2,0.125,16,0.3679959029781374,0.4821850079007315,3.2345084505029997,4.9672847445275785
8,2,0.125,8,0.3872588772321004,0.48904786127383154,3.3943057944660957,5.037583558255868
4,4,0.0,8,0.3547606220444528,0.4898697231192888,3.1012923120854397,5.002199206377735
4,1,0.0,4,0.3536348824110239,0.48998482282232,3.1627449306569613,5.084311055739162
4,4,0.125,16,0.34197181814814764,0.4905027613546871,3.010784102481964,4.944185316162364
8,4,0.125,4,0.35933771425799554,0.49369368284825527,3.182734218964316,5.173588916982464
8,1,0.125,4,0.3906433793410844,0.49623754982230756,3.363482954314956,5.0227877341350595
2,4,0.125,16,0.38974367624785294,0.4965052597738465,3.5258391118085375,5.202566744815736
4,1,0.25,16,0.45604187182727757,0.49696434197805783,3.8672295667893457,4.919947412157126
8,1,0.25,8,0.40263005076741,0.49747633163110416,3.5070021835220344,5.074380528304283
16,4,0.25,4,0.4536160724069557,0.4991724830375428,3.8076331242537975,4.999240487346905
8,1,0.125,2,0.602957007373442,0.507104478082643,4.78960043454422,5.221728241294811
4,2,0.125,8,0.367151361477175,0.5088914351510382,3.2156723003258514,5.172857220611552
8,2,0.25,8,0.4054423976608969,0.5111147654035181,3.442713626779134,5.2102841227387655
8,2,0.25,16,0.38948436277019816,0.5151836745396814,3.3667507704117865,5.198010650914041
16,1,0.125,4,0.45179648161078967,0.5152802941165054,4.123533668078176,5.364776429214479
2,2,0.125,8,0.4371549105737474,0.5165663500540406,3.851530824723168,5.4379538862807815
8,4,0.25,8,0.3644165902396022,0.5169896786578436,3.211262127692589,5.324987475868558
4,2,0.25,16,0.40286188624214303,0.517564870126906,3.5979107172836002,5.345379811333554
4,2,0.125,4,0.3878535930126973,0.5223655976021984,3.341626295394346,5.34220010265731
2,2,0.125,4,0.45289878465536887,0.5247516420145023,3.86898875658078,5.440902245433232
4,4,0.125,4,0.3868526258491329,0.5248467268146123,3.4947419741651427,5.472429119170041
2,1,0.125,8,0.4564396236058968,0.5248557629280008,4.1602374028569855,5.653244893990844
8,2,0.125,4,0.3812613704101139,0.525875675031143,3.268220831125709,5.30469946924422
2,1,0.125,4,0.4513086345584282,0.5267424748546455,3.9836695210062247,5.564475047580458
8,4,0.25,4,0.4615127806461688,0.5279609823462621,3.91241408821709,5.559475407181203
4,1,0.25,8,0.46104781802162853,0.5362522124323121,3.9577541769509685,5.532414500255277
4,2,0.125,2,0.4507245505507169,0.538252265031523,3.9999284195551397,5.672593999252879
4,4,0.0,2,0.35661047281791186,0.5396365344958812,3.209267215940231,5.529820557316503
16,2,0.125,2,0.6202629857181463,0.5409009171336692,4.8671115602371415,5.587594238820692
2,2,0.125,16,0.44768856423777414,0.543709599238524,4.086895463910112,5.779142490483787
4,2,0.25,8,0.413427563032909,0.5438054604166114,3.6342874979077537,5.69173999948186
8,4,0.125,2,0.463229797836346,0.5439838603244395,3.8518050639322805,5.160374086526806
2,2,0.0,2,0.37053788364148915,0.5478998012124616,3.30433653600321,5.832232697836555
2,4,0.125,2,0.5886948401681841,0.5533260600739629,4.898490335093609,6.0432203544094385
4,1,0.125,2,0.4396501614222729,0.5538256938666073,3.9439641502337692,5.810559386521897
4,4,0.25,16,0.42935475812399265,0.558109462208023,3.7649989514118154,5.650802063194085
2,4,0.125,8,0.43039822194657923,0.5610530620160117,3.6304576306955796,5.603963347866751
4,4,0.25,8,0.4015105680745813,0.571104717063458,3.5839381514719615,5.985814462069386
16,1,0.125,2,0.4510128234647874,0.5721596794920086,4.037348506423755,5.815953534410619
16,1,0.25,4,0.5137628185146975,0.5774867807391971,4.403875569781127,5.64632863011537
8,2,0.0,2,0.28428069133615125,0.5794888419275439,2.6320050195907867,5.777236450647673
2,1,0.125,2,0.6321117325649325,0.5815222777826994,5.386765581541577,6.391505250133489
8,1,0.25,4,0.5225409414992185,0.5825391306297466,4.382527591120403,5.816025051207438
2,2,0.25,8,0.5332018932347967,0.6067980968018639,4.921135692010459,6.605588050411964
2,4,0.25,8,0.5310415072279887,0.6141750152783764,4.540508213738085,6.430449201537149
2,1,0.25,8,0.6159074399332604,0.6159010256384917,5.673926091927012,6.7500997090389285
8,2,0.25,4,0.560801761188015,0.6168975062222499,4.818321685857481,6.238188708468051
2,4,0.125,4,0.4860574767066002,0.6173506836281407,4.227763096308636,6.388812297174554
2,1,0.25,16,0.5597364931040865,0.629539304151044,5.387356604020894,6.993895509142596
2,1,0.25,4,0.6061976352045679,0.6325115628680017,5.257317331873059,6.633215720076161
16,2,0.25,4,0.4887938011859342,0.6339508854018249,4.444064265986968,6.835508304189378
4,1,0.125,4,0.4682146292200289,0.6404144865846294,4.303665887803309,7.050410544296045
4,4,0.25,4,0.5398555247803661,0.640517177892076,5.008220566538339,7.000815788855853
16,4,0.25,2,0.49911848248470936,0.6475290572606557,4.226314931743126,6.745876752798884
16,2,0.25,2,0.7777784171791295,0.6640840712797127,6.154414055187429,6.702284294701836
4,2,0.25,4,0.504648237883268,0.6641550348469533,4.4529445535718075,6.98719540961175
2,2,0.25,4,0.562061990462122,0.6650836366945043,5.053148438299299,7.313819735838052
8,1,0.25,2,0.8319113159009042,0.683680440895472,7.006956392854907,7.256340914134866
8,4,0.25,2,0.549977856862338,0.687991859571609,4.98902317131895,7.392722845048567
2,4,0.25,16,0.6099299337896283,0.6943053392426962,5.8519518322813955,7.8650818585957225
2,2,0.25,16,0.6257784369762646,0.6976796507305616,5.6950071887069225,7.79738893407101
16,1,0.25,2,0.6337205233638071,0.7182985354873529,5.911681014907372,7.805466258775065
4,1,0.25,2,0.6412680469830079,0.7267824815134653,5.734555144681721,7.638500932116255
2,2,0.125,2,0.5666662679086073,0.7455624609978854,5.331357746860962,8.373653490436958
4,4,0.125,2,0.5474151680159558,0.7494496162361235,5.186170196608077,8.462112405716372
4,2,0.25,2,0.6348326560575657,0.7515872043937059,5.608460080484473,7.808174406860453
2,4,0.25,2,0.8393838258903197,0.757027438672232,7.094489633052483,8.161704049492808
4,1,0.25,4,0.5715892574441701,0.7588038166283736,5.334855819427477,8.476953755784377
2,1,0.25,2,0.8869018064561481,0.7588482117966844,7.639074895556603,8.224968524743167
2,4,0.25,4,0.6872974522766715,0.766397521126746,6.542367978602363,8.62097512185392
8,2,0.125,2,0.5975774353927296,0.9039687079017537,5.705375328092766,9.802883690128208
4,4,0.25,2,0.7270203216222111,0.9583236590464913,7.072299999930538,10.78765652833995
2,2,0.25,2,0.8023188057394907,0.991453311038519,7.413902793544978,10.864419840833317
8,2,0.25,2,0.7953374747008185,1.069996797701019,7.7472654410709065,11.860773571133292
