Date,Open,High,Low,Close,Currency
2000-08-23,1.115,1.1228,1.1105,1.1097,EUR
2000-08-24,1.1084,1.112,1.1048,1.1085,EUR
2000-08-25,1.1088,1.114,1.1023,1.1084,EUR
2000-08-28,1.1084,1.1128,1.1054,1.1113,EUR
2000-08-29,1.1113,1.1227,1.1083,1.1207,EUR
2000-08-30,1.1208,1.1275,1.1182,1.118,EUR
2000-08-31,1.118,1.1308,1.1147,1.1254,EUR
2000-09-01,1.1258,1.1267,1.109,1.1115,EUR
2000-09-04,1.1113,1.1155,1.1062,1.114,EUR
2000-09-05,1.1142,1.1302,1.1123,1.1241,EUR
2000-09-06,1.1242,1.1513,1.1231,1.1495,EUR
2000-09-07,1.1482,1.158,1.1413,1.1466,EUR
2000-09-08,1.147,1.1578,1.1431,1.1545,EUR
2000-09-11,1.1568,1.1673,1.1483,1.1656,EUR
2000-09-12,1.1657,1.1692,1.1506,1.1578,EUR
2000-09-13,1.1576,1.1633,1.1488,1.1635,EUR
2000-09-14,1.1634,1.1673,1.1455,1.1566,EUR
2000-09-15,1.1568,1.1699,1.1498,1.1717,EUR
2000-09-18,1.1721,1.175,1.1662,1.1723,EUR
2000-09-19,1.1708,1.1794,1.1675,1.1745,EUR
2000-09-20,1.1744,1.1848,1.1736,1.178,EUR
2000-09-21,1.1776,1.182,1.1617,1.1605,EUR
2000-09-22,1.1622,1.1667,1.1109,1.1414,EUR
2000-09-25,1.1365,1.1481,1.1328,1.1427,EUR
2000-09-26,1.1431,1.146,1.1312,1.1328,EUR
2000-09-27,1.1326,1.1375,1.1254,1.1323,EUR
2000-09-28,1.1323,1.1376,1.128,1.1367,EUR
2000-09-29,1.1374,1.1431,1.1298,1.1313,EUR
2000-10-02,1.1309,1.1403,1.1285,1.1395,EUR
2000-10-03,1.1399,1.1457,1.1377,1.1421,EUR
2000-10-04,1.1416,1.1474,1.1389,1.1427,EUR
2000-10-05,1.1431,1.1521,1.1379,1.1507,EUR
2000-10-06,1.1506,1.1544,1.1439,1.1518,EUR
2000-10-09,1.1508,1.1542,1.1479,1.1519,EUR
2000-10-10,1.1515,1.1541,1.1435,1.1471,EUR
2000-10-11,1.1473,1.1549,1.141,1.1567,EUR
2000-10-12,1.1539,1.1611,1.1517,1.1593,EUR
2000-10-13,1.1591,1.1711,1.1546,1.1686,EUR
2000-10-16,1.1691,1.182,1.1686,1.1766,EUR
2000-10-17,1.1766,1.18,1.1706,1.1708,EUR
2000-10-18,1.1708,1.2011,1.1663,1.1916,EUR
2000-10-19,1.1925,1.1933,1.1838,1.1858,EUR
2000-10-20,1.186,1.1976,1.1793,1.1873,EUR
2000-10-23,1.188,1.1978,1.1872,1.1965,EUR
2000-10-24,1.1967,1.1984,1.1903,1.196,EUR
2000-10-25,1.1961,1.2125,1.1919,1.209,EUR
2000-10-26,1.2092,1.2155,1.202,1.2043,EUR
2000-10-27,1.2043,1.2066,1.1844,1.1911,EUR
2000-10-30,1.1899,1.1917,1.1727,1.1905,EUR
2000-10-31,1.1892,1.1928,1.1767,1.1778,EUR
2000-11-01,1.178,1.1806,1.1618,1.161,EUR
2000-11-02,1.1607,1.1688,1.1537,1.1633,EUR
2000-11-03,1.1647,1.1664,1.1374,1.154,EUR
2000-11-06,1.1538,1.1688,1.1462,1.161,EUR
2000-11-07,1.1607,1.166,1.1545,1.1621,EUR
2000-11-08,1.163,1.1724,1.1502,1.1683,EUR
2000-11-09,1.1685,1.174,1.1559,1.154,EUR
2000-11-10,1.1542,1.1629,1.149,1.1623,EUR
