Date,Open,High,Low,Close,Volume,Currency
2000-08-23,14.428,14.803,14.371,14.765,10255944,EUR
2000-08-24,14.644,14.93,14.047,14.104,9164230,EUR
2000-08-25,13.977,14.168,13.793,14.003,6159684,EUR
2000-08-28,14.003,14.2,13.983,14.155,2202623,EUR
2000-08-29,14.168,14.193,13.977,14.149,4996089,EUR
2000-08-30,14.041,14.288,14.041,14.244,4238916,EUR
2000-08-31,14.212,14.358,14.066,14.168,5949419,EUR
2000-09-01,14.161,14.447,14.047,14.447,3936529,EUR
2000-09-04,14.454,14.511,14.263,14.403,2935097,EUR
2000-09-05,14.447,14.625,14.301,14.549,8028406,EUR
2000-09-06,14.549,15.089,14.454,14.86,8548202,EUR
2000-09-07,14.93,15.254,14.867,14.956,10658575,EUR
2000-09-08,14.803,14.93,14.301,14.301,7443424,EUR
2000-09-11,14.358,14.612,14.263,14.543,11651517,EUR
2000-09-12,14.74,14.841,14.612,14.74,9207341,EUR
2000-09-13,14.625,14.74,14.25,14.263,10260253,EUR
2000-09-14,14.288,14.295,13.78,13.945,15444801,EUR
2000-09-15,14.041,14.187,13.85,14.18,10401196,EUR
2000-09-18,14.168,14.549,13.888,13.888,7940987,EUR
2000-09-19,13.977,14.028,13.767,13.882,5566825,EUR
2000-09-20,13.945,14.092,13.818,14.009,6736560,EUR
2000-09-21,13.971,14.06,13.742,13.882,6432084,EUR
2000-09-22,13.729,13.812,13.539,13.698,9604607,EUR
2000-09-25,13.628,13.691,13.45,13.628,6283364,EUR
2000-09-26,13.482,13.621,13.469,13.596,3662095,EUR
2000-09-27,13.501,13.571,13.31,13.437,6873994,EUR
2000-09-28,13.501,13.672,13.329,13.621,9709611,EUR
2000-09-29,13.659,13.685,13.227,13.247,7552378,EUR
2000-10-02,13.247,13.723,13.247,13.577,5711939,EUR
2000-10-03,13.583,13.939,13.532,13.844,5045865,EUR
2000-10-04,13.793,14.022,13.691,13.831,5619548,EUR
2000-10-05,13.856,13.882,13.545,13.545,4598466,EUR
2000-10-06,13.564,14.136,13.564,14.041,10062278,EUR
2000-10-09,14.136,14.155,13.742,13.793,5079683,EUR
2000-10-10,13.977,14.25,13.882,14.25,7956902,EUR
2000-10-11,14.231,14.238,13.964,13.977,8319374,EUR
2000-10-13,14.104,14.104,13.056,13.056,24806364,EUR
2000-10-16,13.342,13.342,13.056,13.119,11523653,EUR
2000-10-17,13.31,13.405,12.738,12.865,13857737,EUR
2000-10-18,12.77,12.859,12.465,12.719,9201173,EUR
2000-10-19,12.929,12.929,12.382,12.675,7668031,EUR
2000-10-20,12.834,13.018,12.694,12.897,8968816,EUR
2000-10-23,13.088,13.088,12.84,12.891,5683193,EUR
